0 ,G+: al,G+: george,B+: bush,G+: gore,G+: president,B+: page,B+: vice,B+: article,G+: death,G+: front
1 ,B+: bush,G+: street,G+: bushwick,G+: avenue,B+: business,G+: playboy,G+: company,G+: gorey,B+: police,B+: site
3 ,B+: bush,G+: gore,G+: voters,G+: percent,G+: campaign,G+: president,G+: george,G+: republican,G+: gov,G+: al
8 ,G+: gore,B+: bush,G+: president,G+: campaign,G+: clinton,B+: gores,B+: vice,B+: bushs,G+: al,G+: people
11 ,B+: bush,G+: cheney,G+: george,B+: bushs,G+: president,G+: republican,G+: texas,G+: governor,G+: campaign,G+: running
14 ,B+: bush,G+: gore,G+: president,B+: foreign,G+: clinton,G+: policy,G+: administration,B+: military,G+: american,G+: george
